,symbol,strike,Forward Price,theoPrice,Calculated Put Price,Price Difference
11826,NYMEX:LO260114P19.5,19.5,73.28,0.6555239462603719,0.5996083419682492,0.07630404515846441
7046,NYMEX:LO260114P20,20.0,73.28,0.7237397600570394,0.6636348523746476,0.08202088930457403
4958,NYMEX:LO260114P20.5,20.5,73.28,0.7899574124724973,0.7258723881950344,0.08745227112099191
9143,NYMEX:LO260114P21,21.0,73.28,0.8534094854029859,0.7855665704315069,0.0925803970680663
9862,NYMEX:LO260114P21.5,21.5,73.28,0.9134217717736655,0.8420520560224125,0.09739317105793252
13259,NYMEX:LO260114P22,22.0,73.28,0.9694143810175211,0.8947545679286093,0.10188293270866783
19639,NYMEX:LO260114P22.5,22.5,73.28,1.02090108618714,0.943190992006429,0.10604543419856843
7752,NYMEX:LO260114P23,23.0,73.28,1.067487435619063,0.9869680806208185,0.10987903247577015
16341,NYMEX:LO260114P23.5,23.5,73.28,1.1088680100441097,1.0257801630882892,0.1133840706274843
2100,NYMEX:LO260114P24,24.0,73.28,1.1448230953845537,1.0594061522295175,0.1165624224277241
17804,NYMEX:LO260114P24.5,24.5,73.28,1.175214957019267,1.087706050483316,0.11941717594971464
11993,NYMEX:LO260114P25,25.0,73.28,1.199983838107158,1.1106170939458706,0.12195243471791391
1601,NYMEX:LO260114P25.5,25.5,73.28,1.219143758360194,1.1281496244767282,0.12417321763573401
4477,NYMEX:LO260114P26,26.0,73.28,1.2327781569290122,1.1403827453621935,0.1260854415486062
8966,NYMEX:LO260114P26.5,26.5,73.28,1.2410354010166356,1.147459792274164,0.12769597262891855
2604,NYMEX:LO260114P27,27.0,73.28,1.2441241683257456,1.149583636315855,0.12901273472965427
8603,NYMEX:LO260114P27.5,27.5,73.28,1.242308704872447,1.147011828215891,0.13004486443307323
1715,NYMEX:LO260114P28,28.0,73.28,1.235903958907619,1.1400515910497289,0.13080290373620387
1514,NYMEX:LO260114P28.5,28.5,73.28,1.225270595867642,1.1290546723961468,0.13129902220455134
20108,NYMEX:LO260114P29,29.0,73.28,1.2108099078877883,1.114412074996502,0.1315472610416024
1420,NYMEX:LO260114P29.5,29.5,73.28,1.1929586441044244,1.0965486973791991,0.13156379192852796
14263,NYMEX:LO260114P30,30.0,73.28,1.1721838045201012,1.0759179322575405,0.1313671837644114
16110,NYMEX:LO260114P30.5,30.5,73.28,1.1489774604423766,1.052996290574208,0.13097867067162733
10236,NYMEX:LO260114P31,31.0,73.28,1.1238516882630556,1.028278142604195,0.13042241492748455
809,NYMEX:LO260114P31.5,31.5,73.28,1.0973337303864241,1.002270694225757,0.1297257589528753
6092,NYMEX:LO260114P32,32.0,73.28,1.0699615270885947,0.9754893458884051,0.12891946124480025
14633,NYMEX:LO260114P32.5,32.5,73.28,1.0422797954679273,0.948453613349812,0.12803791227908737
15128,NYMEX:LO260114P33,33.0,73.28,1.0148368656862883,0.9216838221336396,0.12711932799215153
1555,NYMEX:LO260114P33.5,33.5,73.28,0.9881825194166414,0.895698820903926,0.12620592045949142
3827,NYMEX:LO260114P34,34.0,73.28,0.9628671095575001,0.8710149914118261,0.12534404768787386
3721,NYMEX:LO260114P34.5,34.5,73.28,0.9394422723311604,0.8481468630583251,0.12458434671511368
1159,NYMEX:LO260114P35,35.0,73.28,0.9184635710314804,0.8276096670157753,0.12398185591662805
7663,NYMEX:LO260114P35.5,35.5,73.28,0.9004954327251276,0.8099241866701843,0.12359613271689857
3023,NYMEX:LO260114P36,36.0,73.28,0.8861187523463423,0.7956242759378513,0.12349137064477476
19548,NYMEX:LO260114P36.5,36.5,73.28,0.8759415390914036,0.7852674220634777,0.12373651341147099
15438,NYMEX:LO260114P37,37.0,73.28,0.8706129624213523,0.7794487206197074,0.12440535180355479
12489,NYMEX:LO260114P37.5,37.5,73.28,0.8708411113897894,0.7788186008230245,0.12557657009656784
8032,NYMEX:LO260114P38,38.0,73.28,0.8774146998955725,0.7841045782321152,0.1273336813093031
21365,NYMEX:LO260114P38.5,38.5,73.28,0.8912212538416662,0.7961301346796148,0.12976408182594346
15777,NYMEX:LO260114P39,39.0,73.28,0.9127232412307102,0.8153272070021598,0.1329094353555547
6641,NYMEX:LO260114P39.5,39.5,73.28,0.9415309819972091,0.8413376060082136,0.13672676854393487
20645,NYMEX:LO260114P40,40.0,73.28,0.9771512569001652,0.8737111428957194,0.1411573608139272
284,NYMEX:LO260114P40.5,40.5,73.28,1.0190375051409575,0.911950458940364,0.14613406959687977
18934,NYMEX:LO260114P41,41.0,73.28,1.0665586917092726,0.9554797599099167,0.1515815117349289
21223,NYMEX:LO260114P41.5,41.5,73.28,1.1189713566924526,1.0036165042391803,0.15741655629540444
14054,NYMEX:LO260114P42,42.0,73.28,1.1753958985219448,1.0555471148787676,0.16354910431656275
8694,NYMEX:LO260114P42.5,42.5,73.28,1.2347979392727364,1.1103076218656653,0.16988307506423453
9745,NYMEX:LO260114P43,43.0,73.28,1.2959753718939977,1.1667699266057108,0.17631747446545704
4534,NYMEX:LO260114P43.5,43.5,73.28,1.357656483890632,1.2237334693075317,0.18275520549003862
14256,NYMEX:LO260114P44,44.0,73.28,1.4194431052620358,1.2808181677233543,0.18917158506916135
15028,NYMEX:LO260114P44.5,44.5,73.28,1.4814948870070914,1.3381709815405793,0.195583932132249
12736,NYMEX:LO260114P45,45.0,73.28,1.5440126993660526,1.3959789582967472,0.2020111095378075
13399,NYMEX:LO260114P45.5,45.5,73.28,1.6072327357184957,1.4544637510995626,0.20847295935989774
15287,NYMEX:LO260114P46,46.0,73.28,1.6714265773258221,1.5138817749918774,0.21499017785745733
8622,NYMEX:LO260114P46.5,46.5,73.28,1.736901429219496,1.574524540758543,0.221584181851737
14764,NYMEX:LO260114P47,47.0,73.28,1.8040005294727939,1.6367191734667088,0.22827695961529076
17436,NYMEX:LO260114P47.5,47.5,73.28,1.8731037283742218,1.7008291173120558,0.23509089937522654
14854,NYMEX:LO260114P48,48.0,73.28,1.9446280537099554,1.7672548557345396,0.2420485780232203
10257,NYMEX:LO260114P48.5,48.5,73.28,2.018924913782552,1.8363357880007012,0.2491663834359318
8022,NYMEX:LO260114P49,49.0,73.28,2.0960893755865957,1.9081672554011462,0.2564439413011047
2988,NYMEX:LO260114P49.5,49.5,73.28,2.1761693298160747,1.9827997033244742,0.26387776540884345
13407,NYMEX:LCE260114P50,50.0,73.28,2.4103923787087034,2.0602802199213066,0.47777314245005015
14252,NYMEX:LO260114P50,50.0,73.28,2.259209037152301,2.0602802199213066,0.2714639973130382
20279,NYMEX:LO260114P50.5,50.5,73.28,2.3452488738559243,2.140652267753845,0.27919842535764083
21340,NYMEX:LO260114P51,51.0,73.28,2.4343250905426785,2.2239554263681462,0.28707650678839014
17490,NYMEX:LO260114P51.5,51.5,73.28,2.5264695861869466,2.310225147939189,0.29509339280534624
11999,NYMEX:LO260114P52,52.0,73.28,2.621709699272289,2.399492528039424,0.3032439563767261
21117,NYMEX:LO260114P52.5,52.5,73.28,2.720068017861676,2.491784093457589,0.3115228226038303
8723,NYMEX:LO260114P53,53.0,73.28,2.8215567209396024,2.587116302339787,0.31992415201939883
3241,NYMEX:LO260114P53.5,53.5,73.28,2.926079070928054,2.6854001411637185,0.3284374041543882
5552,NYMEX:LO260114P54,54.0,73.28,3.0334312606315503,2.7864422870631813,0.3370482717908966
20612,NYMEX:LO260114P54.5,54.5,73.28,3.1433844065485754,2.890024041578233,0.345742856127651
16959,NYMEX:LO260114P55,55.0,73.28,3.2556876690928345,2.9959042281238997,0.35450797075455076
21909,NYMEX:LCE260114P55,55.0,73.28,3.4654575382209245,2.9959042281238997,0.6407659799358963
17995,NYMEX:LO260114P55.5,55.5,73.28,3.3700685455807093,3.1038193701906938,0.3633312982942352
11712,NYMEX:LO260114P56,56.0,73.28,3.486233293339822,3.2134840063299954,0.37220153795009103
4438,NYMEX:LO260114P56.5,56.5,73.28,3.6038674702746576,3.3245911298533066,0.38110854315140685
20127,NYMEX:LO260114P57,57.0,73.28,3.7226365795464122,3.436812740131593,0.3900434489831047
16943,NYMEX:LO260114P57.5,57.5,73.28,3.8421868048256336,3.549800491812057,0.3989987895927626
1518,NYMEX:LO260114P58,58.0,73.28,3.9622161681554235,3.6632552110362386,0.4079707384268353
20650,NYMEX:LO260114P58.5,58.5,73.28,4.082729256075815,3.7771765306907508,0.4169660553835487
5240,NYMEX:LO260114P59,59.0,73.28,4.203828995279281,3.89166044066304,0.425994206626966
12179,NYMEX:LO260114P59.5,59.5,73.28,4.325631463819114,4.0068161986726345,0.4350644993811132
6692,NYMEX:LO260114P60,60.0,73.28,4.448265722559821,4.122766196018812,0.44418603512692245
17149,NYMEX:LCE260114P60,60.0,73.28,4.7274294614939265,4.122766196018812,0.8251409190435511
5947,NYMEX:LO260114P60.5,60.5,73.28,4.571873655875539,4.23964583488306,0.4533676596513086
7178,NYMEX:LO260114P61,61.0,73.28,4.6966098135256615,4.357603409808647,0.46261790900247657
15620,NYMEX:LO260114P61.5,61.5,73.28,4.822641249064624,4.4767999892797725,0.47194495057976454
7098,NYMEX:LO260114P62,62.0,73.28,4.950147349575129,4.597409292715298,0.48135651864059914
12018,NYMEX:LO260114P62.5,62.5,73.28,5.079319650933808,4.719617557564835,0.49085984357119733
11405,NYMEX:LO260114P63,63.0,73.28,5.2103616322302315,4.843623390548814,0.5004615743469129
8555,NYMEX:LO260114P63.5,63.5,73.28,5.343488482373058,4.96963759642626,0.5101676937046912
14899,NYMEX:LO260114P64,64.0,73.28,5.4789268313460155,5.097882977014162,0.5199834256711972
3605,NYMEX:LO260114P64.5,64.5,73.28,5.616914438038389,5.228594092536277,0.5299131352375989
9199,NYMEX:LCE260114P65,65.0,73.28,6.118069045941549,5.362016976766554,1.03173044374317
12782,NYMEX:LO260114P65,65.0,73.28,5.757699826094303,5.362016976766554,0.5399602201524951
9953,NYMEX:LO260114P65.5,65.5,73.28,5.901541858832093,5.498408796881105,0.550126995020454
20745,NYMEX:LO260114P66,66.0,73.28,6.048709244014322,5.638037448473902,0.5604145681501365
3230,NYMEX:LO260114P66.5,66.5,73.28,6.199479959141925,5.781181075865657,0.5708227118944708
20892,NYMEX:LO260114P67,67.0,73.28,6.354140588049113,5.928127507688025,0.5813497275669866
15444,NYMEX:LO260114P67.5,67.5,73.28,6.512985559940628,6.079173597807639,0.5919923064041878
14089,NYMEX:LO260114P68,68.0,73.28,6.676316282692618,6.234624462024652,0.6027453884661109
13924,NYMEX:LO260114P68.5,68.5,73.28,6.844440163290173,6.394792601696295,0.6136020218257066
11093,NYMEX:LO260114P69,69.0,73.28,7.017669509749787,6.5599969065616754,0.6245532248746063
21443,NYMEX:LO260114P69.5,69.5,73.28,7.1963203108230225,6.730561530634695,0.6355878550604904
4137,NYMEX:LCE260114P70,70.0,73.28,7.838478786471629,6.906814637143071,1.2713757496295823
4426,NYMEX:LO260114P70,70.0,73.28,7.380710892235303,6.906814637143071,0.6466924878442025
6539,NYMEX:LO260114P70.5,70.5,73.28,7.571160451203884,7.0890870111600215,0.657851310103524
21615,NYMEX:LO260114P71,71.0,73.28,7.767987361945529,7.2777104285430205,0.6690460335732925
18916,NYMEX:LO260114P71.5,71.5,73.28,7.971446998858731,7.472955051831413,0.6802564779302925
18710,NYMEX:LO260114P72,72.0,73.28,8.181628619875688,7.674924985129223,0.6914623836605691
8887,NYMEX:LO260114P72.5,72.5,73.28,8.398586238460375,7.883689404416668,0.7026430595574608
6909,NYMEX:LO260114P73,73.0,73.28,8.622364177776326,8.099308169303782,0.7137773041382969
6661,NYMEX:LO260114P73.5,73.5,73.28,8.852996721441784,8.321831392991385,0.7248435158984702
4846,NYMEX:LO260114P74,74.0,73.28,9.090507822395786,8.551299065477828,0.735819810204637
2216,NYMEX:LO260114P74.5,74.5,73.28,9.334910874162468,8.78774073522294,0.7466841415659495
18589,NYMEX:LO260114P75,75.0,73.28,9.586208548040638,9.031175253814595,0.757414429893617
19720,NYMEX:LCE260114P75,75.0,73.28,10.154524870590443,9.031175253814595,1.5329552630674774
20739,NYMEX:LO260114P75.5,75.5,73.28,9.84439269890234,9.28161058741589,0.7679886892555252
11072,NYMEX:LO260114P76,76.0,73.28,10.109444341375749,9.539043697916128,0.7783851575595264
21464,NYMEX:LO260114P76.5,76.5,73.28,10.381333697233458,9.803460495785828,0.7885824255562642
6571,NYMEX:LO260114P77,77.0,73.28,10.660020313827872,10.074835865662145,0.7985595635449326
3573,NYMEX:LO260114P77.5,77.5,73.28,10.945453252432856,10.353133764691009,0.8082962441892013
11604,NYMEX:LO260114P78,78.0,73.28,11.237571344389593,10.638307392645359,0.8177728599129833
19627,NYMEX:LO260114P78.5,78.5,73.28,11.536303512032717,10.93029943185148,0.8269706334350932
10938,NYMEX:LO260114P79,79.0,73.28,11.84156915051539,11.22904235400702,0.8358717201260499
11739,NYMEX:LO260114P79.5,79.5,73.28,12.153278565873599,11.534458790088003,0.8444593010174618
7105,NYMEX:LCE260114P80,80.0,73.28,13.150851572034242,11.846461958736434,1.780007660067969
18752,NYMEX:LO260114P80,80.0,73.28,12.471333463990469,11.846461958736434,0.8527176654667505
3162,NYMEX:LO260114P80.5,80.5,73.28,12.79562748455065,12.16495614781217,0.86063228266714
135,NYMEX:LO260114P81,81.0,73.28,13.126046773625689,12.489837243195716,0.8681898613946136
4519,NYMEX:LO260114P81.5,81.5,73.28,13.46247058820721,12.820993298453281,0.8753783975899692
19892,NYMEX:LO260114P82,82.0,73.28,13.80477192581074,13.158305138627526,0.8821872095840814
8130,NYMEX:LO260114P82.5,82.5,73.28,14.152818172205741,13.501646991201753,0.8886069609770584
8517,NYMEX:LO260114P83,83.0,73.28,14.506471760384038,13.850887137197468,0.894629671379053
20146,NYMEX:LO260416P7.5,7.5,72.3,1.2815453305697164,1.2317824324104543,0.06882835153424918
9506,NYMEX:LO260416P10,10.0,72.3,0.6242314825777707,0.5872177893414539,0.051194596454103555
15873,NYMEX:LO260416P17.5,17.5,72.3,0.5885070406974964,0.5492427548499075,0.054307449305102215
21530,NYMEX:LO260416P18,18.0,72.3,0.668673936706472,0.6258726202022389,0.059199607889672386
18625,NYMEX:LO260416P18.5,18.5,72.3,0.7547262826061161,0.7083407171067666,0.06415707537945985
11691,NYMEX:LO260416P19,19.0,72.3,0.8436698834312502,0.7937755833873799,0.06901009687948866
5948,NYMEX:LO260416P19.5,19.5,72.3,0.9319989883077737,0.8787860212839578,0.07360023101495983
464,NYMEX:LO260416P20,20.0,72.3,1.0178764561332612,0.9615723080177108,0.07787572353464786
18170,NYMEX:LO260416P20.5,20.5,72.3,1.100354676638605,1.041190084434524,0.08183207773731796
16941,NYMEX:LO260416P21,21.0,72.3,1.178605001335634,1.1168105265256685,0.08546953638999374
22052,NYMEX:LO260416P21.5,21.5,72.3,1.2519147759594094,1.187718411459068,0.08879165214431727
14314,NYMEX:LO260416P22,22.0,72.3,1.3196847568389116,1.2533102808400782,0.0918042544935455
816,NYMEX:LO260416P22.5,22.5,72.3,1.3814254496673755,1.31309134684644,0.09451466503587198
880,NYMEX:LO260416P23,23.0,72.3,1.4367528050048524,1.3666716055257258,0.09693111961151675
15390,NYMEX:LO260416P23.5,23.5,72.3,1.4853835608451762,1.4137614742143016,0.09906236048530366
1475,NYMEX:LO260416P24,24.0,72.3,1.5271304166464827,1.4541671603729043,0.10091736690674755
21186,NYMEX:LO260416P24.5,24.5,72.3,1.5618971466863258,1.4877858889695816,0.10250519739522021
1516,NYMEX:LO260416P25,25.0,72.3,1.5896737065010038,1.5146010581639242,0.10383492162804925
4651,NYMEX:LO260416P25.5,25.5,72.3,1.6105313491032232,1.5346773531531008,0.10491562372077777
7198,NYMEX:LO260416P26,26.0,72.3,1.624617743557907,1.548155821560862,0.10575646195995166
10377,NYMEX:LO260416P26.5,26.5,72.3,1.6321520743130757,1.555248897638796,0.10636677271684622
17947,NYMEX:LO260416P27,27.0,72.3,1.633420093253501,1.5562353545827077,0.10675620839667128
21866,NYMEX:LO260416P27.5,27.5,72.3,1.6287690962454366,1.551455162870901,0.10693490093296767
10086,NYMEX:LO260416P28,28.0,72.3,1.6186028009482065,1.541304236632541,0.10691364359013225
21221,NYMEX:LO260416P28.5,28.5,72.3,1.6033761122390913,1.5262290589607068,0.10670408475571846
2463,NYMEX:LO260416P29,29.0,72.3,1.583589775365879,1.5067211903855782,0.10631892805020858
10049,NYMEX:LO260416P29.5,29.5,72.3,1.5597849347346817,1.4833116822024568,0.10577213351621705
17607,NYMEX:LO260416P30,30.0,72.3,1.5325376380043614,1.456565437908309,0.10507911493229921
11550,NYMEX:LO260416P30.5,30.5,72.3,1.5024533508826945,1.4270755915845719,0.10425692848979617
4667,NYMEX:LO260416P31,31.0,72.3,1.4701615776639483,1.395458001586837,0.10332444823943474
14495,NYMEX:LO260416P31.5,31.5,72.3,1.436310715966107,1.3623459911709683,0.1023025239213537
8269,NYMEX:LO260416P32,32.0,72.3,1.4015633109864254,1.3283855043238724,0.10121411709896684
10632,NYMEX:LO260416P32.5,32.5,72.3,1.3665919142935028,1.2942308844398078,0.10008441196914934
4038,NYMEX:LO260416P33,33.0,72.3,1.3320757937590906,1.2605415246234948,0.09894089783623208
12566,NYMEX:LO260416P33.5,33.5,72.3,1.2986987833225498,1.2279796799528184,0.09781342098164789
3541,NYMEX:LO260416P34,34.0,72.3,1.2671486019937142,1.1972097721957318,0.09673420442321215
11862,NYMEX:LO260416P34.5,34.5,72.3,1.2381180083839451,1.1688995539553426,0.0957378346177075
9294,NYMEX:LO260416P35,35.0,72.3,1.2123081869985706,1.14372352915914,0.09486121416242112
11082,NYMEX:LO260416P35.5,35.5,72.3,1.190434781617892,1.1223690466739877,0.09414347848396158
482,NYMEX:LO260416P36,36.0,72.3,1.1732369944049488,1.105545489152477,0.0936258717184949
11656,NYMEX:LO260416P36.5,36.5,72.3,1.1614901505732274,1.093996964199281,0.09335157174819682
9741,NYMEX:LO260416P37,37.0,72.3,1.156022079265398,1.088518861825757,0.09336544597460696
2861,NYMEX:LO260416P37.5,37.5,72.3,1.1577335709141128,1.089978560426685,0.09371370745149077
17386,NYMEX:LO260416P38,38.0,72.3,1.16762302589677,1.0993404291635187,0.0944434256338191
17249,NYMEX:LO260416P38.5,38.5,72.3,1.1867111582116818,1.1175944736702181,0.09559707405458326
4585,NYMEX:LO260416P39,39.0,72.3,1.215015950332023,1.1447661867369687,0.09716426500007512
8562,NYMEX:LO260416P39.5,39.5,72.3,1.2518872150406475,1.1802385981604475,0.09909905515933606
9926,NYMEX:LO260416P40,40.0,72.3,1.2966215781540011,1.223345095125385,0.101350598933079
854,NYMEX:LO260416P40.5,40.5,72.3,1.3484374806987045,1.273343657637188,0.1038642089370907
10530,NYMEX:LO260416P41,41.0,72.3,1.4064436565698912,1.329384790900627,0.10658211019262012
373,NYMEX:LO260416P41.5,41.5,72.3,1.4696119594087733,1.3904837220211013,0.10944431173951875
13748,NYMEX:LO260416P42,42.0,72.3,1.5367555093356389,1.4554978695620733,0.11238954325527745
18614,NYMEX:LO260416P42.5,42.5,72.3,1.6065128259529047,1.5231103068696,0.11535618130470922
14915,NYMEX:LO260416P43,43.0,72.3,1.6773393601507705,1.5918206677396602,0.11828311536806392
11649,NYMEX:LO260416P43.5,43.5,72.3,1.7480085901093645,1.6604331371478906,0.12112787408225982
241,NYMEX:LO260416P44,44.0,72.3,1.8185070650541082,1.7289315615047434,0.12389419578058761
19342,NYMEX:LO260416P44.5,44.5,72.3,1.8890568818845184,1.7975300037013797,0.12659319250779896
14805,NYMEX:LO260416P45,45.0,72.3,1.959918325670305,1.8664807243773085,0.1292359630608527
